title,author,price,edition,publish_date,item_url,image_url,category,released_year
The Story of the Human Body,Daniel Lieberman,15.09                             ,Paperback,29 Jan 2015,https://www.bookdepository.com/Story-Human-Body-Daniel-Lieberman/9780141399959?ref=grid-view&qid=1630182832847&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8050/9780805042979.jpg,Health,2015
The Fast 800,Dr Dr Michael Mosley,35.55,Paperback,04 Jan 2019,https://www.bookdepository.com/Fast-800-Dr-Dr-Michael-Mosley/9781760850180?ref=grid-view&qid=1630182832847&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141399959.jpg,Health,2019
Your Simple Guide to Reversing Type 2 Diabetes,Professor Roy Taylor,14.85,Paperback,06 May 2021,https://www.bookdepository.com/Your-Simple-Guide-Reversing-Type-2-Diabetes-Professor-Roy-Taylor/9781780724997?ref=grid-view&qid=1630182832847&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7608/9781760850180.jpg,Health,2021
How to Raise a Healthy Child in Spite of Your Doctor,Robert S. Mendelsohn,8.45                             ,Paperback,01 Jun 1990,https://www.bookdepository.com/How-Raise-Healthy-Child-Spite-Your-Doctor-Robert-S-Mendelsohn/9780345342768?ref=grid-view&qid=1630182832847&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780724997.jpg,Health,1990
The Fast 800 Health Journal,Dr Michael Mosley,15.90,Paperback,26 Dec 2019,https://www.bookdepository.com/Fast-800-Health-Journal-Dr-Michael-Mosley/9781780724164?ref=grid-view&qid=1630182832847&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3453/9780345342768.jpg,Health,2019
The ICD-10 Classification of Mental and Behavioural Disorders: Clinical Description and Diagnostic Guidelines,World Health Organization(WHO),43.54                             ,Paperback,01 May 1992,https://www.bookdepository.com/ICD-10-Classification-Mental-Behavioural-Disorders-Clinical-Description-Diagnostic-Guidelines-World-Health-Organization-WHO/9789241544221?ref=grid-view&qid=1630182832847&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780724164.jpg,Health,1992
8 Keys to Safe Trauma Recovery,Babette Rothschild,19.60                             ,Paperback,12 May 2011,https://www.bookdepository.com/8-Keys-Safe-Trauma-Recovery-Babette-Rothschild/9780393706055?ref=grid-view&qid=1630182832847&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/2415/9789241544221.jpg,Health,2011
Pregnancy Health Yoga,Tara Lee,27.20,Paperback,14 Mar 2013,https://www.bookdepository.com/Pregnancy-Health-Yoga-Tara-Lee/9781848990814?ref=grid-view&qid=1630182832847&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3937/9780393706055.jpg,Health,2013
80/10/10 Diet,Douglas N. Graham,28.43                             ,Paperback,15 Nov 2006,https://www.bookdepository.com/80-10-10-Diet-Douglas-N-Graham/9781893831247?ref=grid-view&qid=1630182832847&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8489/9781848990814.jpg,Health,2006
The Menopause Manifesto,Dr. Jennifer Gunter,23.05,Paperback,25 May 2021,https://www.bookdepository.com/Menopause-Manifesto-Dr-Jennifer-Gunter/9780349427607?ref=grid-view&qid=1630182832847&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8938/9781893831247.jpg,Health,2021
Grief Counselling and Grief Therapy,J. William Worden,52.27,Paperback,15 Jan 2010,https://www.bookdepository.com/Grief-Counselling-Grief-Therapy-J-William-Worden/9780415559997?ref=grid-view&qid=1630182832847&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349427607.jpg,Health,2010
The Mens Health Big Book of Food & Nutrition,Joel Weber,28.09,Paperback,21 Dec 2010,https://www.bookdepository.com/Mens-Health-Big-Book-Food-Nutrition-Joel-Weber/9781605293103?ref=grid-view&qid=1630182832847&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4155/9780415559997.jpg,Health,2010
The Emotion Code,Dr Bradley Nelson,22.20                             ,Paperback,09 May 2019,https://www.bookdepository.com/Emotion-Code-Dr-Bradley-Nelson/9781785042874?ref=grid-view&qid=1630182832847&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6052/9781605293103.jpg,Health,2019
Pemf - the Fifth Element of Health,Bryant A. Meyers,13.41                             ,Paperback,19 Aug 2013,https://www.bookdepository.com/Pemf-Fifth-Element-Health-Bryant-Meyers/9781452579221?ref=grid-view&qid=1630182832847&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042874.jpg,Health,2013
The Real Anthony Fauci,Robert F. Kennedy Jr.,24.16                             ,Hardback,09 Nov 2021,https://www.bookdepository.com/Real-Anthony-Fauci-Robert-F-Kennedy-Jr/9781510766808?ref=grid-view&qid=1630182832847&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4525/9781452579221.jpg,Health,2021
Cultured Food for Health,Donna Schwenk,29.61,Paperback,24 Nov 2015,https://www.bookdepository.com/Cultured-Food-for-Health-Donna-Schwenk/9781401947835?ref=grid-view&qid=1630182832847&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5107/9781510766808.jpg,Health,2015
