title,author,price,edition,publish_date,item_url,image_url,category,released_year
Pride and Pleasure,Sylvia Day,12.69,Paperback,28 Feb 2013,https://www.bookdepository.com/Pride-Pleasure-Sylvia-Day/9781405912372?ref=grid-view&qid=1630182815653&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912372.jpg,Romance,2013
The Wedding Date,Jasmine Guillory,13.27                             ,Paperback,30 Jan 2018,https://www.bookdepository.com/Wedding-Date-Jasmine-Guillory/9781472255877?ref=grid-view&qid=1630182815653&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472255877.jpg,Romance,2018
Beaded Romance,Kelly Wiese,40.85,Paperback,28 Jun 2013,https://www.bookdepository.com/Beaded-Romance-Kelly-Wiese/9781440232138?ref=grid-view&qid=1630182815653&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440232138.jpg,Romance,2013
Romancing the Beat,Gwen Hayes,12.84,Paperback,02 Apr 2016,https://www.bookdepository.com/Romancing-Beat-Gwen-Hayes/9781530838615?ref=grid-view&qid=1630182815653&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5308/9781530838615.jpg,Romance,2016
"I, Isaac, Take Thee, Rebekah",Ravi Zacharias,14.44                             ,Paperback,03 Apr 2005,https://www.bookdepository.com/I-Isaac-Take-Thee-Rebekah-Ravi-Zacharias/9780849908224?ref=grid-view&qid=1630182815653&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849908224.jpg,Romance,2005
A Thousand Days In Venice,Marlena De Blasi,10.71                             ,Paperback,20 Mar 2003,https://www.bookdepository.com/Thousand-Days-Venice-Marlena-De-Blasi/9781844080205?ref=grid-view&qid=1630182815653&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844080205.jpg,Romance,2003
Modern Romance,Aziz Ansari,32.87,Hardback,19 Aug 2015,https://www.bookdepository.com/Modern-Romance-Aziz-Ansari/9781594206276?ref=grid-view&qid=1630182815653&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5942/9781594206276.jpg,Romance,2015
A Cornish Stranger,Liz Fenwick,10.45                             ,Paperback,23 Apr 2015,https://www.bookdepository.com/Cornish-Stranger-Liz-Fenwick/9781409148241?ref=grid-view&qid=1630182815653&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409148241.jpg,Romance,2015
And Baby Makes Three,John Gottman,15.47,Paperback,23 Jan 2008,https://www.bookdepository.com/Baby-Makes-Three-John-Gottman/9781400097388?ref=grid-view&qid=1630182815653&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4000/9781400097388.jpg,Romance,2008
Romance of the Grail,Joseph Campbell,22.92                             ,Hardback,15 Dec 2015,https://www.bookdepository.com/Romance-Grail-Joseph-Campbell/9781608683246?ref=grid-view&qid=1630182815653&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6086/9781608683246.jpg,Romance,2015
All That She Can See,Carrie Hope Fletcher,7.28                             ,Paperback,05 Mar 2019,https://www.bookdepository.com/All-That-She-Can-See-Carrie-Hope-Fletcher/9780751563207?ref=grid-view&qid=1630182815653&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751563207.jpg,Romance,2019
The Grand Sophy,Georgette Heyer,12.37,Paperback,24 Sep 2013,https://www.bookdepository.com/Grand-Sophy-Georgette-Heyer/9780099585541?ref=grid-view&qid=1630182815653&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099585541.jpg,Romance,2013
The Mammoth Book of Paranormal Romance 2,Trisha Telep,18.27,Paperback,26 Aug 2010,https://www.bookdepository.com/Mammoth-Book-Paranormal-Romance-2-Trisha-Telep/9781849013703?ref=grid-view&qid=1630182815653&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8490/9781849013703.jpg,Romance,2010
Charity Girl,Georgette Heyer,11.88                             ,Paperback,23 Nov 2004,https://www.bookdepository.com/Charity-Girl-Georgette-Heyer/9780099468059?ref=grid-view&qid=1630182815653&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099468059.jpg,Romance,2004
Powder And Patch,Georgette Heyer,11.37                             ,Paperback,22 Feb 2005,https://www.bookdepository.com/Powder-Patch-Georgette-Heyer/9780099474432?ref=grid-view&qid=1630182815653&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099474432.jpg,Romance,2005
The Stranger I Married,Sylvia Day,14.47,Paperback,27 Dec 2012,https://www.bookdepository.com/Stranger-I-Married-Sylvia-Day/9781405912358?ref=grid-view&qid=1630182815653&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912358.jpg,Romance,2012
Dangerous Alliance: An Austentacious Romance,Jennieke Cohen,18.48,Hardback,23 Jan 2020,https://www.bookdepository.com/Dangerous-Alliance-Austentacious-Romance-Jennieke-Cohen/9780062857309?ref=grid-view&qid=1630182815653&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0628/9780062857309.jpg,Romance,2020
Mars And Venus On A Date,John Gray,16.44,Paperback,02 Jan 2003,https://www.bookdepository.com/Mars-Venus-On-Date-John-Gray/9780091887674?ref=grid-view&qid=1630182815653&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0918/9780091887674.jpg,Romance,2003
Under the Black Flag,David Cordingly,15.52                             ,Paperback,09 May 2006,https://www.bookdepository.com/Under-Black-Flag-David-Cordingly/9780812977226?ref=grid-view&qid=1630182815653&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812977226.jpg,Romance,2006
The Lady Most Willing...,Julia Quinn,8.84,Paperback,26 Dec 2012,https://www.bookdepository.com/Lady-Most-Willing-Julia-Quinn/9780062107381?ref=grid-view&qid=1630182815653&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0621/9780062107381.jpg,Romance,2012
A Duke of Her Own,Eloisa James,8.39,Paperback,11 Jul 2011,https://www.bookdepository.com/Duke-Her-Own-Eloisa-James/9780061626838?ref=grid-view&qid=1630182815653&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0616/9780061626838.jpg,Romance,2011
A Thousand Days In Tuscany,Marlena De Blasi,17.07,Paperback,07 Jul 2005,https://www.bookdepository.com/Thousand-Days-Tuscany-Marlena-De-Blasi/9781844081530?ref=grid-view&qid=1630182815653&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844081530.jpg,Romance,2005
True Romance,Quentin Tarantino,14.52                             ,Paperback,02 Aug 2000,https://www.bookdepository.com/True-Romance-Quentin-Tarantino/9780802136862?ref=grid-view&qid=1630182815653&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8021/9780802136862.jpg,Romance,2000
The Greek Alexander Romance,Richard Stoneman,14.13,Paperback,05 Nov 1991,https://www.bookdepository.com/Greek-Alexander-Romance-Richard-Stoneman/9780140445602?ref=grid-view&qid=1630182815653&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140445602.jpg,Romance,1991
The Secret Wife,Gill Paul,15.47                             ,Paperback,15 Nov 2016,https://www.bookdepository.com/Secret-Wife-Gill-Paul/9780008102142?ref=grid-view&qid=1630182815653&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008102142.jpg,Romance,2016
Then Came You,Lisa Kleypas,14.03,Paperback,02 Jul 2015,https://www.bookdepository.com/Then-Came-You-Lisa-Kleypas/9780380770137?ref=grid-view&qid=1630182815653&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3807/9780380770137.jpg,Romance,2015
The Autumn Bride,Anne Gracie,8.30,Paperback,05 Feb 2013,https://www.bookdepository.com/Autumn-Bride-Anne-Gracie/9780425259252?ref=grid-view&qid=1630182815653&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4252/9780425259252.jpg,Romance,2013
The Dot and the Line,Norton Juster,10.31,Hardback,01 Dec 2000,https://www.bookdepository.com/Dot-Line-Norton-Juster/9781587170669?ref=grid-view&qid=1630182815653&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5871/9781587170669.jpg,Romance,2000
A Fine Romance,Susan Branch,29.08,Hardback,30 Jun 2017,https://www.bookdepository.com/Fine-Romance-Susan-Branch/9780996044042?ref=grid-view&qid=1630182815653&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9960/9780996044042.jpg,Romance,2017
Romance in Marseille,Claude McKay,14.95                             ,Paperback,07 May 2020,https://www.bookdepository.com/Romance-Marseille-Claude-McKay/9780143134220?ref=grid-view&qid=1630182815653&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143134220.jpg,Romance,2020
Pride and Pleasure,Sylvia Day,12.69,Paperback,28 Feb 2013,https://www.bookdepository.com/Pride-Pleasure-Sylvia-Day/9781405912372?ref=grid-view&qid=1630182815653&sr=1-61,https://d3ogvdx946i4sr.cloudfront.net/assets/v2.25.8/img/newsletter-icon.svg,Romance,2013
The Wedding Date,Jasmine Guillory,13.27                             ,Paperback,30 Jan 2018,https://www.bookdepository.com/Wedding-Date-Jasmine-Guillory/9781472255877?ref=grid-view&qid=1630182815653&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912372.jpg,Romance,2018
Beaded Romance,Kelly Wiese,40.85,Paperback,28 Jun 2013,https://www.bookdepository.com/Beaded-Romance-Kelly-Wiese/9781440232138?ref=grid-view&qid=1630182815653&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472255877.jpg,Romance,2013
Romancing the Beat,Gwen Hayes,12.84,Paperback,02 Apr 2016,https://www.bookdepository.com/Romancing-Beat-Gwen-Hayes/9781530838615?ref=grid-view&qid=1630182815653&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440232138.jpg,Romance,2016
"I, Isaac, Take Thee, Rebekah",Ravi Zacharias,14.44                             ,Paperback,03 Apr 2005,https://www.bookdepository.com/I-Isaac-Take-Thee-Rebekah-Ravi-Zacharias/9780849908224?ref=grid-view&qid=1630182815653&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5308/9781530838615.jpg,Romance,2005
A Thousand Days In Venice,Marlena De Blasi,10.71                             ,Paperback,20 Mar 2003,https://www.bookdepository.com/Thousand-Days-Venice-Marlena-De-Blasi/9781844080205?ref=grid-view&qid=1630182815653&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849908224.jpg,Romance,2003
Modern Romance,Aziz Ansari,32.87,Hardback,19 Aug 2015,https://www.bookdepository.com/Modern-Romance-Aziz-Ansari/9781594206276?ref=grid-view&qid=1630182815653&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844080205.jpg,Romance,2015
A Cornish Stranger,Liz Fenwick,10.45                             ,Paperback,23 Apr 2015,https://www.bookdepository.com/Cornish-Stranger-Liz-Fenwick/9781409148241?ref=grid-view&qid=1630182815653&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5942/9781594206276.jpg,Romance,2015
And Baby Makes Three,John Gottman,15.47,Paperback,23 Jan 2008,https://www.bookdepository.com/Baby-Makes-Three-John-Gottman/9781400097388?ref=grid-view&qid=1630182815653&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409148241.jpg,Romance,2008
Romance of the Grail,Joseph Campbell,22.92                             ,Hardback,15 Dec 2015,https://www.bookdepository.com/Romance-Grail-Joseph-Campbell/9781608683246?ref=grid-view&qid=1630182815653&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4000/9781400097388.jpg,Romance,2015
All That She Can See,Carrie Hope Fletcher,7.28                             ,Paperback,05 Mar 2019,https://www.bookdepository.com/All-That-She-Can-See-Carrie-Hope-Fletcher/9780751563207?ref=grid-view&qid=1630182815653&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6086/9781608683246.jpg,Romance,2019
The Grand Sophy,Georgette Heyer,12.37,Paperback,24 Sep 2013,https://www.bookdepository.com/Grand-Sophy-Georgette-Heyer/9780099585541?ref=grid-view&qid=1630182815653&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751563207.jpg,Romance,2013
The Mammoth Book of Paranormal Romance 2,Trisha Telep,18.27,Paperback,26 Aug 2010,https://www.bookdepository.com/Mammoth-Book-Paranormal-Romance-2-Trisha-Telep/9781849013703?ref=grid-view&qid=1630182815653&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099585541.jpg,Romance,2010
Charity Girl,Georgette Heyer,11.88                             ,Paperback,23 Nov 2004,https://www.bookdepository.com/Charity-Girl-Georgette-Heyer/9780099468059?ref=grid-view&qid=1630182815653&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8490/9781849013703.jpg,Romance,2004
Powder And Patch,Georgette Heyer,11.37                             ,Paperback,22 Feb 2005,https://www.bookdepository.com/Powder-Patch-Georgette-Heyer/9780099474432?ref=grid-view&qid=1630182815653&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099468059.jpg,Romance,2005
The Stranger I Married,Sylvia Day,14.47,Paperback,27 Dec 2012,https://www.bookdepository.com/Stranger-I-Married-Sylvia-Day/9781405912358?ref=grid-view&qid=1630182815653&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099474432.jpg,Romance,2012
Dangerous Alliance: An Austentacious Romance,Jennieke Cohen,18.48,Hardback,23 Jan 2020,https://www.bookdepository.com/Dangerous-Alliance-Austentacious-Romance-Jennieke-Cohen/9780062857309?ref=grid-view&qid=1630182815653&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912358.jpg,Romance,2020
Mars And Venus On A Date,John Gray,16.44,Paperback,02 Jan 2003,https://www.bookdepository.com/Mars-Venus-On-Date-John-Gray/9780091887674?ref=grid-view&qid=1630182815653&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0628/9780062857309.jpg,Romance,2003
Under the Black Flag,David Cordingly,15.52                             ,Paperback,09 May 2006,https://www.bookdepository.com/Under-Black-Flag-David-Cordingly/9780812977226?ref=grid-view&qid=1630182815653&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0918/9780091887674.jpg,Romance,2006
The Lady Most Willing...,Julia Quinn,8.84,Paperback,26 Dec 2012,https://www.bookdepository.com/Lady-Most-Willing-Julia-Quinn/9780062107381?ref=grid-view&qid=1630182815653&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812977226.jpg,Romance,2012
A Duke of Her Own,Eloisa James,8.39,Paperback,11 Jul 2011,https://www.bookdepository.com/Duke-Her-Own-Eloisa-James/9780061626838?ref=grid-view&qid=1630182815653&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0621/9780062107381.jpg,Romance,2011
A Thousand Days In Tuscany,Marlena De Blasi,17.07,Paperback,07 Jul 2005,https://www.bookdepository.com/Thousand-Days-Tuscany-Marlena-De-Blasi/9781844081530?ref=grid-view&qid=1630182815653&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0616/9780061626838.jpg,Romance,2005
True Romance,Quentin Tarantino,14.52                             ,Paperback,02 Aug 2000,https://www.bookdepository.com/True-Romance-Quentin-Tarantino/9780802136862?ref=grid-view&qid=1630182815653&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844081530.jpg,Romance,2000
The Greek Alexander Romance,Richard Stoneman,14.13,Paperback,05 Nov 1991,https://www.bookdepository.com/Greek-Alexander-Romance-Richard-Stoneman/9780140445602?ref=grid-view&qid=1630182815653&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8021/9780802136862.jpg,Romance,1991
The Secret Wife,Gill Paul,15.47                             ,Paperback,15 Nov 2016,https://www.bookdepository.com/Secret-Wife-Gill-Paul/9780008102142?ref=grid-view&qid=1630182815653&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140445602.jpg,Romance,2016
Then Came You,Lisa Kleypas,14.03,Paperback,02 Jul 2015,https://www.bookdepository.com/Then-Came-You-Lisa-Kleypas/9780380770137?ref=grid-view&qid=1630182815653&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008102142.jpg,Romance,2015
The Autumn Bride,Anne Gracie,8.30,Paperback,05 Feb 2013,https://www.bookdepository.com/Autumn-Bride-Anne-Gracie/9780425259252?ref=grid-view&qid=1630182815653&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3807/9780380770137.jpg,Romance,2013
The Dot and the Line,Norton Juster,10.31,Hardback,01 Dec 2000,https://www.bookdepository.com/Dot-Line-Norton-Juster/9781587170669?ref=grid-view&qid=1630182815653&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4252/9780425259252.jpg,Romance,2000
A Fine Romance,Susan Branch,29.08,Hardback,30 Jun 2017,https://www.bookdepository.com/Fine-Romance-Susan-Branch/9780996044042?ref=grid-view&qid=1630182815653&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5871/9781587170669.jpg,Romance,2017
Romance in Marseille,Claude McKay,14.95                             ,Paperback,07 May 2020,https://www.bookdepository.com/Romance-Marseille-Claude-McKay/9780143134220?ref=grid-view&qid=1630182815653&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9960/9780996044042.jpg,Romance,2020
Pride and Pleasure,Sylvia Day,12.69,Paperback,28 Feb 2013,https://www.bookdepository.com/Pride-Pleasure-Sylvia-Day/9781405912372?ref=grid-view&qid=1630182815653&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143134220.jpg,Romance,2013
The Wedding Date,Jasmine Guillory,13.27                             ,Paperback,30 Jan 2018,https://www.bookdepository.com/Wedding-Date-Jasmine-Guillory/9781472255877?ref=grid-view&qid=1630182815653&sr=1-62,https://d3ogvdx946i4sr.cloudfront.net/assets/v2.25.8/img/newsletter-icon.svg,Romance,2018
Beaded Romance,Kelly Wiese,40.85,Paperback,28 Jun 2013,https://www.bookdepository.com/Beaded-Romance-Kelly-Wiese/9781440232138?ref=grid-view&qid=1630182815653&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912372.jpg,Romance,2013
Romancing the Beat,Gwen Hayes,12.84,Paperback,02 Apr 2016,https://www.bookdepository.com/Romancing-Beat-Gwen-Hayes/9781530838615?ref=grid-view&qid=1630182815653&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472255877.jpg,Romance,2016
"I, Isaac, Take Thee, Rebekah",Ravi Zacharias,14.44                             ,Paperback,03 Apr 2005,https://www.bookdepository.com/I-Isaac-Take-Thee-Rebekah-Ravi-Zacharias/9780849908224?ref=grid-view&qid=1630182815653&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440232138.jpg,Romance,2005
A Thousand Days In Venice,Marlena De Blasi,10.71                             ,Paperback,20 Mar 2003,https://www.bookdepository.com/Thousand-Days-Venice-Marlena-De-Blasi/9781844080205?ref=grid-view&qid=1630182815653&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5308/9781530838615.jpg,Romance,2003
Modern Romance,Aziz Ansari,32.87,Hardback,19 Aug 2015,https://www.bookdepository.com/Modern-Romance-Aziz-Ansari/9781594206276?ref=grid-view&qid=1630182815653&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849908224.jpg,Romance,2015
A Cornish Stranger,Liz Fenwick,10.45                             ,Paperback,23 Apr 2015,https://www.bookdepository.com/Cornish-Stranger-Liz-Fenwick/9781409148241?ref=grid-view&qid=1630182815653&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844080205.jpg,Romance,2015
And Baby Makes Three,John Gottman,15.47,Paperback,23 Jan 2008,https://www.bookdepository.com/Baby-Makes-Three-John-Gottman/9781400097388?ref=grid-view&qid=1630182815653&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5942/9781594206276.jpg,Romance,2008
Romance of the Grail,Joseph Campbell,22.92                             ,Hardback,15 Dec 2015,https://www.bookdepository.com/Romance-Grail-Joseph-Campbell/9781608683246?ref=grid-view&qid=1630182815653&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409148241.jpg,Romance,2015
All That She Can See,Carrie Hope Fletcher,7.28                             ,Paperback,05 Mar 2019,https://www.bookdepository.com/All-That-She-Can-See-Carrie-Hope-Fletcher/9780751563207?ref=grid-view&qid=1630182815653&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4000/9781400097388.jpg,Romance,2019
The Grand Sophy,Georgette Heyer,12.37,Paperback,24 Sep 2013,https://www.bookdepository.com/Grand-Sophy-Georgette-Heyer/9780099585541?ref=grid-view&qid=1630182815653&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6086/9781608683246.jpg,Romance,2013
The Mammoth Book of Paranormal Romance 2,Trisha Telep,18.27,Paperback,26 Aug 2010,https://www.bookdepository.com/Mammoth-Book-Paranormal-Romance-2-Trisha-Telep/9781849013703?ref=grid-view&qid=1630182815653&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751563207.jpg,Romance,2010
Charity Girl,Georgette Heyer,11.88                             ,Paperback,23 Nov 2004,https://www.bookdepository.com/Charity-Girl-Georgette-Heyer/9780099468059?ref=grid-view&qid=1630182815653&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099585541.jpg,Romance,2004
Powder And Patch,Georgette Heyer,11.37                             ,Paperback,22 Feb 2005,https://www.bookdepository.com/Powder-Patch-Georgette-Heyer/9780099474432?ref=grid-view&qid=1630182815653&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8490/9781849013703.jpg,Romance,2005
The Stranger I Married,Sylvia Day,14.47,Paperback,27 Dec 2012,https://www.bookdepository.com/Stranger-I-Married-Sylvia-Day/9781405912358?ref=grid-view&qid=1630182815653&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099468059.jpg,Romance,2012
Dangerous Alliance: An Austentacious Romance,Jennieke Cohen,18.48,Hardback,23 Jan 2020,https://www.bookdepository.com/Dangerous-Alliance-Austentacious-Romance-Jennieke-Cohen/9780062857309?ref=grid-view&qid=1630182815653&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099474432.jpg,Romance,2020
Mars And Venus On A Date,John Gray,16.44,Paperback,02 Jan 2003,https://www.bookdepository.com/Mars-Venus-On-Date-John-Gray/9780091887674?ref=grid-view&qid=1630182815653&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912358.jpg,Romance,2003
Under the Black Flag,David Cordingly,15.52                             ,Paperback,09 May 2006,https://www.bookdepository.com/Under-Black-Flag-David-Cordingly/9780812977226?ref=grid-view&qid=1630182815653&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0628/9780062857309.jpg,Romance,2006
The Lady Most Willing...,Julia Quinn,8.84,Paperback,26 Dec 2012,https://www.bookdepository.com/Lady-Most-Willing-Julia-Quinn/9780062107381?ref=grid-view&qid=1630182815653&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0918/9780091887674.jpg,Romance,2012
A Duke of Her Own,Eloisa James,8.39,Paperback,11 Jul 2011,https://www.bookdepository.com/Duke-Her-Own-Eloisa-James/9780061626838?ref=grid-view&qid=1630182815653&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812977226.jpg,Romance,2011
A Thousand Days In Tuscany,Marlena De Blasi,17.07,Paperback,07 Jul 2005,https://www.bookdepository.com/Thousand-Days-Tuscany-Marlena-De-Blasi/9781844081530?ref=grid-view&qid=1630182815653&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0621/9780062107381.jpg,Romance,2005
True Romance,Quentin Tarantino,14.52                             ,Paperback,02 Aug 2000,https://www.bookdepository.com/True-Romance-Quentin-Tarantino/9780802136862?ref=grid-view&qid=1630182815653&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0616/9780061626838.jpg,Romance,2000
The Greek Alexander Romance,Richard Stoneman,14.13,Paperback,05 Nov 1991,https://www.bookdepository.com/Greek-Alexander-Romance-Richard-Stoneman/9780140445602?ref=grid-view&qid=1630182815653&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844081530.jpg,Romance,1991
The Secret Wife,Gill Paul,15.47                             ,Paperback,15 Nov 2016,https://www.bookdepository.com/Secret-Wife-Gill-Paul/9780008102142?ref=grid-view&qid=1630182815653&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8021/9780802136862.jpg,Romance,2016
Then Came You,Lisa Kleypas,14.03,Paperback,02 Jul 2015,https://www.bookdepository.com/Then-Came-You-Lisa-Kleypas/9780380770137?ref=grid-view&qid=1630182815653&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140445602.jpg,Romance,2015
The Autumn Bride,Anne Gracie,8.30,Paperback,05 Feb 2013,https://www.bookdepository.com/Autumn-Bride-Anne-Gracie/9780425259252?ref=grid-view&qid=1630182815653&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008102142.jpg,Romance,2013
The Dot and the Line,Norton Juster,10.31,Hardback,01 Dec 2000,https://www.bookdepository.com/Dot-Line-Norton-Juster/9781587170669?ref=grid-view&qid=1630182815653&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3807/9780380770137.jpg,Romance,2000
